City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Barra,BR,-11.0894,-43.1417,69.93,94,100,4.14,light rain
298,Aksarka,RU,66.5606,67.7975,13.24,95,100,5.64,overcast clouds
299,Lublin,PL,51.0,23.0,31.59,91,97,9.91,overcast clouds
300,Bengkulu,ID,-3.8004,102.2655,76.42,86,100,3.18,overcast clouds
301,Sikeston,US,36.8767,-89.5879,55.29,71,75,4.61,broken clouds
302,Eenhana,NA,-17.4667,16.3333,76.19,50,92,2.98,overcast clouds
303,Manzanillo,CU,20.3433,-77.1167,87.13,49,13,3.96,few clouds
304,Homa Bay,KE,-0.5273,34.4571,67.5,81,97,4.85,light rain
305,Rosetta,EG,31.4044,30.4164,62.78,62,1,6.76,clear sky
306,Namibe,AO,-15.1961,12.1522,70.21,86,99,8.12,overcast clouds
307,Winslow,US,35.0242,-110.6974,55.58,21,0,28.77,clear sky
308,Santander,ES,43.4647,-3.8044,53.46,93,75,11.5,broken clouds
309,Tual,ID,-5.6667,132.75,84.56,74,100,14.97,overcast clouds
310,Viedma,AR,-40.8135,-62.9967,96.08,22,14,13.09,few clouds
311,Salinopolis,BR,-0.6136,-47.3561,81.1,75,76,10.38,broken clouds
312,Muroto,JP,33.2833,134.15,68.49,83,100,19.95,light rain
313,Merauke,ID,-8.4667,140.3333,76.55,94,100,10.6,overcast clouds
314,Heihe,CN,50.2441,127.4902,-1.61,96,100,13.82,light snow
315,Marawi,PH,7.9986,124.2928,67.37,93,48,1.28,scattered clouds
316,Dedovichi,RU,57.5517,29.9502,26.33,96,100,5.82,overcast clouds
317,Ponta Delgada,PT,37.7333,-25.6667,70.5,94,40,12.66,scattered clouds
318,Port-Cartier,CA,50.0334,-66.8654,24.75,74,36,13.53,scattered clouds
319,Ukiah,US,39.1502,-123.2078,55.85,60,0,9.22,clear sky
320,Smithers,CA,54.7804,-127.1743,18.57,69,80,4.23,broken clouds
321,Udon Thani,TH,17.3333,102.8333,81.9,79,86,2.95,overcast clouds
322,Victoria,HK,22.2855,114.1577,77.38,92,7,5.01,clear sky
323,Lata,PT,40.1629,-8.3327,56.8,92,17,2.28,few clouds
324,Mersing,MY,2.4312,103.8405,77.9,87,29,4.25,scattered clouds
325,Watertown,US,42.3709,-71.1828,49.69,59,0,17.0,clear sky
326,Pakxan,LA,18.3778,103.6601,72.27,92,23,3.36,few clouds
327,Beneditinos,BR,-5.45,-42.3667,77.0,84,100,5.82,moderate rain
328,Makakilo City,US,21.3469,-158.0858,75.69,79,100,6.91,light rain
329,Mapimi,MX,25.8167,-103.85,76.19,7,0,2.21,clear sky
330,Drumheller,CA,51.4617,-112.7101,15.06,89,100,20.31,overcast clouds
331,Terra Boa,BR,-23.7681,-52.4442,73.27,68,51,9.35,broken clouds
332,Port Blair,IN,11.6667,92.75,79.36,81,61,3.13,broken clouds
333,Lakselv,NO,70.0513,24.9718,30.02,80,96,13.8,overcast clouds
