City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Rocha,UY,2022-11-26 14:59:26,-34.4833,-54.3333,83.32,38,0,9.46
243,Beyneu,KZ,2022-11-26 14:59:32,45.3167,55.2,39.83,75,91,25.5
244,Rio Gallegos,AR,2022-11-26 14:59:32,-51.6226,-69.2181,59.05,23,0,18.41
245,Sorland,NO,2022-11-26 14:59:33,67.667,12.6934,42.66,69,100,15.03
246,Nanortalik,GL,2022-11-26 14:59:33,60.1432,-45.2371,36.28,80,100,7.07
247,Mahebourg,MU,2022-11-26 14:59:34,-20.4081,57.7,77.29,69,40,11.5
248,Tevriz,RU,2022-11-26 14:59:34,57.509,72.4042,-8.07,94,100,2.91
249,Dumai,ID,2022-11-26 14:59:34,1.6833,101.45,75.51,92,77,2.1
250,Marawi,PH,2022-11-26 14:59:35,7.9986,124.2928,68.25,97,100,1.28
251,Port Lincoln,AU,2022-11-26 14:59:35,-34.7333,135.8667,57.92,80,38,10.02
252,Port Keats,AU,2022-11-26 14:59:36,-14.25,129.55,81.5,79,100,6.67
253,Marzanesti,RO,2022-11-26 14:59:36,43.9333,25.4667,45.68,64,7,2.3
254,Edd,ER,2022-11-26 14:59:36,13.9297,41.6925,84.56,57,3,17.27
255,Bambous Virieux,MU,2022-11-26 14:55:09,-20.3428,57.7575,77.25,69,40,11.5
256,Carutapera,BR,2022-11-26 14:59:37,-1.195,-46.02,88.56,53,83,8.84
257,Guatire,VE,2022-11-26 14:59:37,10.4762,-66.5427,85.69,76,95,4.07
258,Saint-Ambroise,CA,2022-11-26 14:59:38,48.5501,-71.3324,30.74,80,100,8.05
259,Cooma,AU,2022-11-26 14:59:38,-36.2333,149.1333,53.92,76,69,3.29
260,Manali,IN,2022-11-26 14:59:39,13.1667,80.2667,80.69,78,32,8.66
261,Abu Samrah,SY,2022-11-26 14:59:39,35.3029,37.1841,56.7,67,13,10.04
262,Ahuimanu,US,2022-11-26 14:59:40,21.4447,-157.8378,71.85,81,55,1.99
263,Valparaiso,CL,2022-11-26 14:59:40,-33.0393,-71.6273,66.0,89,100,8.05
264,Aklavik,CA,2022-11-26 14:59:40,68.2191,-135.0107,10.4,92,100,6.91
265,Show Low,US,2022-11-26 14:59:41,34.2542,-110.0298,41.14,54,0,8.05
266,Nantucket,US,2022-11-26 14:55:52,41.2835,-70.0995,43.14,67,3,30.31
267,Houma,US,2022-11-26 14:59:41,29.5958,-90.7195,64.4,94,100,8.05
268,Ixtapa,MX,2022-11-26 14:59:42,20.7,-105.2,74.1,67,6,1.66
269,Lazaro Cardenas,MX,2022-11-26 14:59:42,17.9583,-102.2,78.33,73,63,3.38
270,Wakkanai,JP,2022-11-26 14:59:42,45.4094,141.6739,37.81,69,100,23.04
271,Verkhoyansk,RU,2022-11-26 14:59:43,67.5447,133.385,-44.1,100,73,0.85
272,Vila Franca Do Campo,PT,2022-11-26 14:59:43,37.7167,-25.4333,63.19,76,100,6.64
273,Sao Desiderio,BR,2022-11-26 15:00:44,-12.3633,-44.9733,79.88,68,100,7.56
274,Belaya Gora,RU,2022-11-26 15:00:44,68.5333,146.4167,-28.32,100,99,3.33
275,Sitka,US,2022-11-26 15:00:45,57.0531,-135.33,35.49,80,100,3.44
276,Siloam Springs,US,2022-11-26 15:00:46,36.1881,-94.5405,45.61,93,100,6.44
277,Chichimila,MX,2022-11-26 15:00:46,20.6167,-88.2167,75.25,64,39,5.06
278,Kudahuvadhoo,MV,2022-11-26 15:00:47,2.6708,72.8944,81.52,72,100,4.5
279,Urumqi,CN,2022-11-26 15:00:48,43.801,87.6005,22.15,93,100,13.42
280,Marshall,US,2022-11-26 14:59:21,34.3834,-86.3333,57.09,86,0,6.91
281,Yuzhnyy,RU,2022-11-26 15:00:48,53.2542,83.6936,-21.62,63,0,11.18
282,Pilar Do Sul,BR,2022-11-26 15:00:49,-23.8131,-47.7164,75.79,54,82,6.91
283,Saskylakh,RU,2022-11-26 15:00:49,71.9167,114.0833,-23.87,98,89,6.06
284,Meulaboh,ID,2022-11-26 15:00:50,4.1363,96.1285,77.76,82,100,0.87
285,Ponta Do Sol,PT,2022-11-26 15:00:51,32.6667,-17.1,76.01,68,100,1.79
286,Carnarvon,AU,2022-11-26 15:00:51,-24.8667,113.6333,69.31,73,0,22.82
287,Bay Roberts,CA,2022-11-26 15:00:52,47.5999,-53.2648,39.33,89,100,5.99
288,Muros,ES,2022-11-26 15:00:52,42.7762,-9.0603,62.1,68,100,16.64
289,Waipawa,NZ,2022-11-26 15:00:53,-41.4122,175.5153,55.15,81,94,9.13
290,Fortuna,US,2022-11-26 15:00:54,40.5982,-124.1573,45.52,97,40,0.0
291,Juxtlahuaca,MX,2022-11-26 15:00:54,17.4294,-99.1467,75.15,63,95,2.8
292,Raudeberg,NO,2022-11-26 15:00:55,61.9875,5.1352,48.87,71,64,17.65
